ParticleType	PosX_mm	PosY_mm	PosZ_mm
pi+	-3.05112	-3.0853	144.3	
pi+	-5.51773	-5.85693	143.563	
pi+	-7.28192	-8.04011	142.516	
pi+	-9.0069	-9.58471	142.01	
pi+	-10.6517	-10.3504	141.315	
pi+	-11.8712	-10.8826	140.617	
pi+	-12.903	-11.37	140.199	
pi+	-13.8071	-11.6468	139.936	
pi+	-14.5181	-11.8357	139.769	
pi+	-15.0645	-12.0389	139.646	
pi+	-15.4795	-12.1318	139.433	
pi+	-15.8298	-12.2564	139.355	
pi+	-16.1161	-12.377	139.355	
pi+	-16.331	-12.4719	139.287	
pi+	-16.4937	-12.5545	139.297	
pi+	-16.564	-12.5929	139.31	
pi+	-16.565	-12.5906	139.311	
pi+	-16.565	-12.5906	139.311	
pi+	-16.565	-12.5906	139.311	
mu+	-16.5553	-12.7006	139.252	
mu+	-16.5462	-12.7074	139.246	
mu+	-16.546	-12.7076	139.246	
mu+	-16.546	-12.7076	139.246	
pi0	17.2364	3.53666	229.868	
pi0	-0.32	-0.833033	189.622	
pi+	9.96097	-0.803343	195.124	
pi+	10.7349	-0.889267	195.741	
pi+	9.83383	2.55825	192.795	
pi+	9.11844	5.38227	190.887	
pi+	10.7274	6.24005	188.545	
pi+	11.7795	7.7197	186.923	
pi+	12.4439	8.716	185.312	
pi+	13.1557	9.40283	184.039	
pi+	13.9873	9.89764	183.11	
pi+	14.5701	10.6034	182.517	
pi+	15.0778	11.1273	182.036	
pi+	15.4431	11.5116	181.554	
pi+	15.7281	11.7458	181.142	
pi+	15.9286	11.9786	180.831	
pi+	16.0954	12.1617	180.584	
pi+	16.1447	12.3564	180.392	
pi+	16.2543	12.4785	180.258	
pi+	16.325	12.5776	180.168	
pi+	16.3357	12.5938	180.142	
pi+	16.3354	12.5938	180.141	
pi+	16.3354	12.5938	180.141	
mu+	16.3107	12.5014	180.056	
mu+	16.2995	12.498	180.054	
mu+	16.2992	12.4977	180.054	
mu+	16.2992	12.4977	180.054	
mu+	16.2992	12.4977	180.054	
pi-	0.133425	-1.98061	190.294	
pi-	0.467711	-2.84792	190.935	
pi-	0.798062	-3.59755	191.359	
pi-	1.08994	-4.13152	191.791	
pi-	1.30979	-4.58073	192.113	
pi-	1.61419	-4.92938	192.188	
pi-	1.82767	-5.23707	192.15	
pi-	1.83829	-5.2672	192.149	
pi-	1.85039	-5.41444	192.395	
pi-	1.89495	-5.52109	192.581	
pi-	1.90963	-5.59057	192.71	
pi-	1.90889	-5.60649	192.721	
pi-	1.90898	-5.60709	192.721	
pi-	1.90898	-5.60709	192.721	
pi+	-1.48958	-0.633212	200.452	
pi+	-1.43845	-0.485986	200.96	
pi+	-1.71164	0.945914	205.683	
pi+	-1.7533	5.43881	215.079	
pi+	-2.95345	7.85467	223.122	
pi+	-4.7001	9.57787	229.237	
pi+	-6.20202	11.0948	234.325	
pi+	-7.03769	11.5157	236.843	
pi+	-8.31326	12.1592	240.257	
pi+	-9.29671	13.2286	242.881	
pi+	-10.3694	14.1936	244.798	
pi+	-11.3847	14.7213	246.398	
pi+	-12.2513	15.1615	247.594	
pi+	-12.8569	15.5379	248.552	
pi+	-13.1138	15.7881	249.431	
pi+	-13.3376	16.0778	250.111	
pi+	-13.5732	16.2918	250.621	
pi+	-13.8073	16.3902	251.024	
pi+	-14.0533	16.4312	251.317	
pi+	-14.2908	16.4013	251.506	
pi+	-14.4833	16.4197	251.646	
pi+	-14.6266	16.4427	251.745	
pi+	-14.6617	16.4524	251.78	
pi+	-14.6623	16.4517	251.78	
pi+	-14.6623	16.4517	251.78	
mu+	-14.5603	16.4128	251.712	
mu+	-14.5524	16.4172	251.702	
mu+	-14.5524	16.4172	251.702	
mu+	-14.5524	16.4172	251.702	
pi-	-1.23432	11.8303	42.6523	
pi-	-1.23341	11.8801	42.7931	
pi-	-4.22583	19.5613	73.4946	
pi-	-5.31252	20.7413	78.0603	
pi-	-7.15181	25	98.1232	
pi-	-101.997	-26.6183	573	
pi-	-101.147	-29.5904	583	
pi-	-101.147	-29.5904	583	
pi-	-101.147	-29.5904	583	
pi-	4488.45	1781.04	17774.5	
mu-	8021.22	4631.15	36693.7	
mu-	11136.8	7278.62	53082.5	
mu-	13819.3	9808.74	67323.1	
mu-	16179.7	12147.4	80417	
mu-	18220.2	14344.7	91336.9	
mu-	19928.6	16454.4	101672	
mu-	21458.6	18361	110288	
mu-	22827.7	20084.6	118117	
mu-	35498.4	35211.7	187079	
pi0	-2.97357e-05	-1.30325e-05	5.48127	
pi+	-0.226588	-0.00435804	5.50093	
pi+	-0.36481	-0.0136446	5.57538	
pi+	-0.397555	-0.024051	5.60358	
pi+	-0.397715	-0.0240426	5.60376	
pi+	-0.397715	-0.0240426	5.60376	
mu+	-0.387545	-0.0243034	5.47874	
mu+	-0.379213	-0.0276933	5.46549	
mu+	-0.379239	-0.0278331	5.46535	
mu+	-0.379239	-0.0278331	5.46535	
pi0	0.120858	-0.232959	86.3995	
pi0	0.120817	-0.232834	86.3995	
pi+	-3.17072	-3.38545	89.7905	
pi+	-5.53792	-6.13929	92.894	
pi+	-7.10635	-8.66411	95.239	
pi+	-8.61752	-10.7698	96.7683	
pi+	-9.83883	-12.5734	97.8723	
pi+	-10.8101	-14.0836	98.4649	
pi+	-11.9195	-15.118	98.729	
pi+	-12.8841	-15.6922	99.1786	
pi+	-13.7368	-15.9173	99.5799	
pi+	-14.4105	-16.1671	99.825	
pi+	-14.9715	-16.3789	99.919	
pi+	-15.3008	-16.7075	100	
pi+	-15.5448	-16.993	100.061	
pi+	-15.758	-17.1997	100.13	
pi+	-15.9418	-17.3431	100.092	
pi+	-16.0745	-17.4537	100.06	
pi+	-16.1332	-17.4588	100.046	
pi+	-16.1335	-17.4588	100.046	
pi+	-16.1335	-17.4588	100.046	
mu+	-16.0355	-17.3824	100.059	
mu+	-16.0231	-17.3825	100.057	
mu+	-16.0233	-17.3825	100.057	
mu+	-16.0233	-17.3825	100.057	
pi-	-11.4203	-6.50611	92.2886	
pi-	-18.459	-13.2925	98.81	
pi-	-24.5434	-18.0054	104.345	
pi-	-25	-18.4303	104.573	
pi-	25	5.42144	339.152	
pi-	18.2593	4.08215	341.959	
pi-	12.8092	1.81155	342.978	
pi-	8.61259	-0.6514	343.835	
pi-	5.2697	-2.51665	344.833	
pi-	2.54529	-3.74081	346.04	
pi-	0.719771	-4.83675	347.487	
pi-	-0.776869	-5.76357	348.604	
pi-	-1.95683	-6.62664	349.273	
pi-	-2.80048	-7.43169	349.867	
pi-	-3.51368	-7.95214	350.399	
pi-	-3.69174	-8.10752	350.468	
pi-	-4.25306	-8.58008	350.656	
pi-	-4.74183	-8.86225	350.874	
pi-	-5.07993	-9.18997	350.987	
pi-	-5.34696	-9.4509	351.081	
pi-	-5.60431	-9.60369	351.141	
pi-	-5.79356	-9.73768	351.166	
pi-	-5.91825	-9.82635	351.176	
pi-	-5.95184	-9.84135	351.183	
pi-	-5.95253	-9.84162	351.183	
pi-	-5.95253	-9.84162	351.183	
pi+	23.6852	-4.48658	50.8691	
pi+	25	-4.77617	51.7685	
pi+	-25	-3.41257	682.626	
pi+	-6.72637	-2.11814	694.508	
pi+	8.75527	-0.630675	702.914	
pi+	17.7781	0.00261164	707.32	
pi+	25	-0.415624	710.246	
pi+	-25	-14.9713	880.805	
pi+	-15.757	-10.4569	883.202	
pi+	-8.8709	-6.37375	884.634	
pi+	-3.60939	-2.73691	885.933	
pi+	0.679296	0.251418	886.845	
pi+	4.53154	1.93362	887.081	
pi+	6.30922	2.82518	886.919	
pi0	0.187776	0.0310914	36.7505	
pi0	0.187774	0.0310911	36.7504	
pi0	0.187728	0.0311068	36.751	
pi-	16764.4	-39490.6	137178	
mu-	19870.4	-45882.1	137593	
pi-	15326.3	-38033.9	137977	
pi-	25167.3	-43204.2	159226	
pi0	0.187741	0.0311025	36.7505	
pi-	0.797532	-0.53945	40.2168	
pi-	1.19103	-4.00032	47.9124	
pi-	2.14997	-6.84435	53.9601	
pi-	3.02675	-8.49667	59.1642	
pi-	4.2079	-10.163	63.0865	
pi-	5.05326	-10.901	66.4256	
pi-	5.14721	-11.0084	66.8311	
pi-	6.11249	-12.6354	68.8687	
pi-	6.70327	-14.1716	70.4122	
pi-	7.369	-15.401	71.5353	
pi-	7.45626	-15.5703	71.6943	
pi-	7.35883	-16.0092	73.0227	
pi-	7.20192	-16.3574	74.0994	
pi-	7.24824	-16.4721	75.0002	
pi-	7.22029	-16.5942	75.3176	
pi-	7.09326	-17.1464	75.6545	
pi-	6.99622	-17.5643	75.9298	
pi-	6.99454	-17.8286	76.2212	
pi-	7.05939	-18.0509	76.4301	
pi-	7.08043	-18.2334	76.5972	
pi-	7.12161	-18.3877	76.6993	
pi-	7.13099	-18.4606	76.7464	
pi-	7.13053	-18.4594	76.7494	
pi-	7.13052	-18.4593	76.7494	
pi-	7.13052	-18.4593	76.7494	
pi+	0.0145077	-0.426325	95.2775	
pi+	1.5035	-4.02789	86.1581	
pi+	1.88897	-7.02397	79.4081	
pi+	1.7334	-9.72049	74.1004	
pi+	1.44306	-12.481	70.0483	
pi+	1.74321	-14.702	66.8725	
pi+	1.80257	-16.5276	64.2418	
pi+	1.62074	-17.7179	61.9754	
pi+	1.4262	-18.6643	60.4632	
pi+	1.01357	-19.038	58.8724	
pi+	0.722666	-19.2491	57.562	
pi+	0.555036	-19.3604	56.4929	
pi+	0.42118	-19.3366	55.611	
pi+	0.406751	-19.2082	54.9034	
pi+	0.362997	-19.0618	54.3471	
pi+	0.292288	-18.8756	53.9384	
pi+	0.30757	-18.814	53.7562	
pi+	0.392617	-18.5985	53.5343	
pi+	0.46323	-18.3919	53.4198	
pi+	0.461114	-18.2495	53.3098	
pi+	0.447956	-18.1807	53.2917	
pi+	0.447455	-18.1793	53.2917	
pi+	0.447455	-18.1793	53.2917	
mu+	0.351733	-18.1698	53.3637	
mu+	0.337677	-18.162	53.3682	
mu+	0.338247	-18.1615	53.368	
mu+	0.338263	-18.1615	53.368	
mu+	0.338263	-18.1615	53.368	
pi-	0.641296	2.87627	97.4744	
pi-	0.274326	5.75523	99.4581	
pi-	-0.033761	7.74134	101.265	
pi-	-0.238809	9.63201	102.315	
pi-	-0.594894	11.0577	103.24	
pi-	-1.10894	12.0546	104.063	
pi-	-1.41219	12.8746	104.77	
pi-	-1.60288	13.6292	105.202	
pi-	-1.56871	14.307	105.449	
pi-	-1.52966	14.623	105.913	
pi-	-1.50868	14.9072	106.27	
pi-	-1.45272	15.076	106.604	
pi-	-1.45037	15.1308	106.902	
pi-	-1.48154	15.2251	107.113	
pi-	-1.5584	15.3097	107.24	
pi-	-1.59237	15.3273	107.257	
pi-	-1.59388	15.3276	107.257	
pi-	-1.59388	15.3276	107.257	
pi-	0.153029	-0.746633	94.598	
pi-	0.1909	-1.06924	94.0731	
pi-	0.314626	-1.31872	93.6749	
pi-	0.428253	-1.5654	93.4024	
pi-	0.525684	-1.70299	93.1487	
pi-	0.564921	-1.81711	92.9497	
pi-	0.62709	-1.91388	92.8277	
pi-	0.619378	-1.9241	92.7755	
pi-	0.619097	-1.92412	92.7752	
pi-	0.619097	-1.92412	92.7752	
pi+	6.76906	-10.6538	118.68	
pi+	10.5133	-9.46951	117.6	
pi+	13.6251	-8.64186	116.78	
pi+	16.2439	-7.99399	116.669	
pi+	18.2777	-7.32818	116.583	
pi+	19.8973	-7.06693	116.383	
pi+	21.2107	-7.14968	116.543	
pi+	22.2643	-7.34645	116.669	
pi+	23.0992	-7.4302	116.853	
pi+	23.7506	-7.49581	117.088	
pi+	24.2463	-7.62071	117.319	
pi+	24.648	-7.70457	117.51	
pi+	24.9482	-7.83469	117.642	
pi+	25	-7.87759	117.674	
pi+	-11.6441	-25	164.548	
pi+	-11.6427	-24.7713	164.668	
pi+	-11.6498	-24.605	164.763	
pi+	-11.6359	-24.5343	164.829	
pi+	-11.6367	-24.5319	164.831	
pi+	-11.6368	-24.5318	164.831	
pi+	-11.6368	-24.5318	164.831	
mu+	-11.5969	-24.6461	164.873	
mu+	-11.5916	-24.6552	164.887	
mu+	-11.5922	-24.6556	164.887	
mu+	-11.5922	-24.6556	164.887	
pi0	-0.156788	-0.0370791	94.21	
pi0	-0.1568	-0.0370719	94.21	
pi+	3.67707	0.138425	109.552	
pi+	6.81947	-0.289313	120.53	
pi+	9.00745	-1.56769	129.183	
pi+	10.2713	-1.24197	136.52	
pi+	11.2147	-1.6479	142.401	
pi+	12.4515	-1.75987	147.251	
pi+	14.0829	-1.41321	150.871	
pi+	14.8727	-1.61616	152.52	
pi+	16.4902	-1.4886	154.673	
pi+	16.477	-0.997959	154.956	
pi+	16.61	-0.661847	155.209	
pi+	16.6813	-0.384293	155.395	
pi+	16.7045	-0.182906	155.574	
pi+	16.7146	-0.0116184	155.688	
pi+	16.699	0.0989303	155.753	
pi+	16.6963	0.106385	155.755	
pi+	16.6961	0.106498	155.755	
pi+	16.6961	0.106498	155.755	
mu+	16.7982	0.13955	155.821	
mu+	16.8078	0.142344	155.829	
mu+	16.8077	0.142255	155.829	
mu+	16.8077	0.142259	155.829	
mu+	16.8077	0.142259	155.829	
pi-	-0.211466	-0.699657	96.8139	
pi-	-0.754214	-22.8309	163.24	
pi-	-0.931072	-25	169.125	
pi-	3376.18	24510.6	67779.8	
mu-	4027.97	49837.5	136322	
pi0	-4.31712	24.7306	163.239	
pi+	-0.209593	0.0451835	25.2163	
pi+	-5.30991	1.28082	33.0302	
pi0	-5.30992	1.2808	33.0302	
pi-	-4.98101	-6.6167	37.9628	
pi-	-8.92031	-12.2831	47.762	
pi-	-10.5088	-16.6152	56.3374	
pi-	-11.6426	-19.8115	63.3652	
pi-	-12.0221	-23.3288	68.3703	
pi-	-12.9656	-25	71.7992	
pi-	25	-4.95937	451.415	
pi-	23.2026	-4.69787	455.385	
pi-	21.4363	-4.56297	458.488	
pi-	20.9626	-4.59419	459.219	
pi0	2.80521e-05	2.01858e-06	24.904	
pi+	1.44163	-0.526907	33.3961	
pi+	4.3772	-0.70869	47.3836	
pi+	7.77085	0.456718	57.8447	
pi+	11.0337	1.65454	65.9191	
pi+	11.8933	1.9921	72.9675	
pi+	11.3976	1.6148	78.5995	
pi+	11.6002	1.1648	83.3599	
pi+	12.3314	1.12894	87.1347	
pi+	12.5673	0.972406	90.2655	
pi+	12.5839	1.00094	92.7742	
pi+	12.1837	0.971291	94.7889	
pi+	11.7723	1.11144	96.3836	
pi+	11.2383	1.51011	97.528	
pi+	10.8398	1.87736	98.4466	
pi+	10.6072	2.21196	99.2174	
pi+	10.4626	2.50822	99.8443	
pi+	10.345	2.75949	100.332	
pi+	10.2474	2.96066	100.726	
pi+	10.1249	3.13995	101.024	
pi+	10.0483	3.21229	101.292	
pi+	9.97135	3.20348	101.506	
pi+	9.92146	3.23588	101.655	
pi+	9.90119	3.24016	101.681	
pi+	9.90163	3.24012	101.681	
pi+	9.90163	3.24012	101.681	
mu+	9.9266	3.36339	101.68	
mu+	9.92634	3.37826	101.683	
mu+	9.9255	3.37893	101.683	
mu+	9.92551	3.37891	101.683	
mu+	9.92551	3.37891	101.683	
pi0	1.32577	0.0232008	96.4218	
pi0	1.32581	0.0231946	96.4219	
pi-	1.41578	0.012417	96.4739	
pi+	2.92264	-0.661564	88.9237	
pi+	4.17635	-1.33353	84.9493	
pi+	4.85352	-1.94025	81.4374	
pi+	6.80191	-5.79076	80.8214	
pi+	8.11972	-9.04651	80.7387	
pi+	9.05166	-11.6947	80.5948	
pi+	9.81361	-13.7935	80.4912	
pi+	10.1869	-15.5567	80.5657	
pi+	10.3383	-16.9516	80.7217	
pi+	10.2556	-18.0101	81.0874	
pi+	9.95979	-18.7496	81.4746	
pi+	9.58647	-19.2439	81.812	
pi+	9.30836	-19.6605	82.0101	
pi+	9.12054	-20.0262	82.1299	
pi+	8.98009	-20.3332	82.1545	
pi+	8.88529	-20.5716	82.1366	
pi+	8.822	-20.7657	82.1128	
pi+	8.81577	-20.9028	82.1153	
pi+	8.8153	-20.9106	82.1244	
pi+	8.81567	-20.9106	82.1248	
pi+	8.81567	-20.9106	82.1248	
mu+	8.76402	-20.9745	82.0308	
mu+	8.76302	-20.9906	82.0285	
mu+	8.76264	-20.991	82.0287	
mu+	8.76264	-20.991	82.0287	
pi-	7.73651	15.7153	141.076	
pi-	7.24262	14.5667	141.736	
pi-	6.72933	13.694	142.112	
pi-	6.26086	12.9987	142.283	
pi-	6.05028	12.3571	142.281	
pi-	5.9779	11.8039	142.242	
pi-	5.92241	11.3632	142.209	
pi-	5.91625	11.0069	142.16	
pi-	5.91607	11.0048	142.159	
pi-	5.6702	10.8874	142.24	
pi-	5.46866	10.8712	142.298	
pi-	5.33549	10.8391	142.298	
pi-	5.32651	10.832	142.299	
pi-	5.32647	10.8318	142.299	
pi-	5.32647	10.8318	142.299	
pi-	-0.816659	3.60332	43.0087	
pi-	-1.73574	6.25223	42.1194	
pi-	-2.42364	8.42034	42.087	
pi-	-3.08562	10.0784	42.0987	
pi-	-3.60964	11.442	42.2472	
pi-	-4.0487	12.5443	42.1908	
pi-	-4.35693	13.4294	42.2668	
pi-	-4.70783	14.0778	42.3942	
pi-	-5.08604	14.5498	42.3554	
pi-	-5.43472	14.8666	42.2229	
pi-	-5.67113	15.1582	42.1098	
pi-	-5.85448	15.3715	41.9716	
pi-	-5.96878	15.5233	41.8203	
pi-	-6.05147	15.6375	41.7175	
pi-	-6.10346	15.6685	41.6901	
pi-	-6.10347	15.6685	41.6901	
pi-	-6.10347	15.6685	41.6901	
pi0	-0.000822443	0.0102674	44.202	
pi-	-2.27753	3.16372	97.4542	
pi-	-2.0995	3.91175	97.2559	
pi-	-1.89099	4.47457	97.1428	
pi-	-1.65434	4.87749	97.0043	
pi-	-1.46144	5.20124	96.9638	
pi-	-1.26627	5.40032	96.8441	
pi-	-1.16524	5.59095	96.7612	
pi-	-1.09862	5.72589	96.6731	
pi-	-1.05882	5.75708	96.6513	
pi-	-1.05856	5.75779	96.6515	
pi-	-1.05856	5.75779	96.6515	
pi-	-1.05856	5.75779	96.6515	
pi0	1.12943	-0.460419	50.7439	
pi+	2.19249	-7.75856	44.3538	
pi+	4.07528	-13.8282	44.0274	
pi+	4.50449	-19.0719	43.9899	
pi+	5.21852	-23.2194	44.0102	
pi+	5.81163	-25	43.7532	
pi+	-25	13.9277	22.9586	
pi+	-22.517	12.3449	22.7994	
pi+	-20.4113	11.2583	22.8738	
pi+	-18.5767	10.8259	22.9663	
pi+	-17.1903	10.2005	23.1533	
pi+	-16.1049	9.63586	23.2547	
pi+	-15.294	9.23908	22.9793	
pi+	-14.6353	9.16278	22.6438	
pi+	-14.1599	9.05345	22.2945	
pi+	-13.7522	8.93193	22.0503	
pi+	-13.5071	8.77977	21.7917	
pi+	-13.3849	8.65592	21.5467	
pi+	-13.2646	8.61276	21.3526	
pi+	-13.1789	8.63493	21.2135	
pi+	-13.1598	8.63209	21.173	
pi+	-13.1596	8.63199	21.1728	
pi+	-13.1596	8.63199	21.1728	
mu+	-13.1635	8.51004	21.2026	
mu+	-13.1522	8.49884	21.194	
mu+	-13.1515	8.49869	21.1939	
mu+	-13.1515	8.49869	21.1939	
pi+	-7.53519	-2.58899	59.7219	
pi+	-13.9876	-5.0979	71.9481	
pi+	-20.5129	-6.23709	81.3044	
pi+	-25	-5.93414	85.7999	
pi+	25	16.8999	504.292	
pi+	20.3756	12.856	509.644	
pi+	16.4546	9.73088	513.854	
pi+	14.9001	8.63146	516.192	
pi+	0.0102216	-3.63072	68.4148	
pi+	0.421519	-5.48908	73.4279	
pi+	-1.03692	-8.21171	80.8623	
pi+	-0.832765	-9.21909	87.1063	
pi+	-1.84132	-9.93059	92.2033	
pi+	-2.92426	-10.694	96.1391	
pi+	-3.59084	-11.3224	99.4192	
pi+	-4.42864	-11.436	101.954	
pi+	-4.72655	-11.6973	104.016	
pi+	-5.11256	-11.7809	105.689	
pi+	-5.10178	-11.8239	107.103	
pi+	-5.10072	-11.8768	108.236	
pi+	-4.92454	-11.9804	109.113	
pi+	-4.67996	-12.0711	109.789	
pi+	-4.62512	-12.0722	110.349	
pi+	-4.61014	-12.0542	110.789	
pi+	-4.54361	-11.9564	111.114	
pi+	-4.51137	-11.8742	111.373	
pi+	-4.48604	-11.7237	111.524	
pi+	-4.45296	-11.6032	111.604	
pi+	-4.44714	-11.5916	111.623	
pi+	-4.4469	-11.5917	111.623	
pi+	-4.4469	-11.5917	111.623	
mu+	-4.48629	-11.5386	111.733	
mu+	-4.49434	-11.5441	111.745	
mu+	-4.49428	-11.5444	111.745	
mu+	-4.49428	-11.5444	111.745	
pi-	-6.8377	5.2748	80.3442	
pi-	-16.0353	10.3057	106.552	
pi-	-22.5148	10.9958	124.091	
pi-	-25	11.4622	131.33	
pi-	-61.2088	-102.193	573	
pi-	-57.817	-103.902	583	
pi-	-57.817	-103.902	583	
pi-	-57.817	-103.902	583	
pi-	24.0272	-25	968.577	
pi-	21.2961	-19.3294	985.061	
pi-	18.2678	-11.6908	997.144	
pi-	17.3452	-9.35685	1000	
pi-	13524.5	-63.3762	15586.2	
mu-	49775.4	4733.95	61452.7	
pi-	-10.8367	-3.94235	130.127	
pi-	-23.6667	-7.49568	193.148	
pi0	-23.6668	-7.49569	193.148	
pi0	-23.6668	-7.4956	193.148	
pi+	2.07134	-1.60843	61.6932	
pi+	1.01876	-16.123	62.4776	
pi+	-1.71334	-25	63.7828	
pi+	7.42309	25	140.33	
pi+	7.42604	24.8961	140.341	
pi-	17.8167	-9.77474	180.947	
pi-	18.1853	-9.84903	180.731	
pi-	18.4862	-9.87049	180.567	
pi-	18.7139	-9.80281	180.446	
pi-	18.8511	-9.67841	180.37	
pi-	18.8581	-9.58969	180.334	
pi-	18.8582	-9.58648	180.336	
pi-	18.8582	-9.58648	180.336	
pi-	18.8582	-9.58648	180.336	
pi+	18.1188	-8.69278	182.863	
pi+	25	-1.39703	195.626	
pi+	12728.6	42639.9	54622.6	
pi+	12940.4	43359	55511.2	
mu+	14994.4	47698.7	61051.7	
pi+	-21.5809	-5.75338	54.604	
pi+	-25	-9.19836	60.1981	
pi+	-1.80531	25	771.636	
pi+	-5.09225	18.2963	779.298	
pi+	-5.77615	16.9671	780.624	
pi0	-5.77609	16.967	780.624	
pi0	-0.0103957	-0.017313	6.00091	
pi-	0.239087	0.422525	6.58671	
pi-	2.04831	3.99301	11.3067	
pi-	3.62012	6.66923	15.2925	
pi-	4.51106	8.96906	18.4632	
pi-	5.22665	11.2496	20.726	
pi-	5.63067	12.8092	22.7993	
pi-	5.75536	14.1462	24.4333	
pi-	6.06824	15.0763	25.8369	
pi-	6.15029	15.2998	26.0926	
pi-	6.33628	16.211	27.0372	
pi-	6.47138	17.0739	27.6279	
pi-	6.68501	17.7456	28.0545	
pi-	6.84999	18.2915	28.4117	
pi-	6.9487	18.7227	28.7171	
pi-	7.01345	19.0892	28.9231	
pi-	7.04679	19.4148	28.9998	
pi-	7.04536	19.6561	29.1135	
pi-	7.03078	19.8226	29.2433	
pi-	7.07683	19.9513	29.2841	
pi-	7.07527	19.967	29.2901	
pi-	7.07527	19.967	29.2901	
pi0	-0.0104087	-0.0172844	6.00075	
pi0	-0.0103809	-0.0173109	6.00088	
pi-	-9.50418	-2.91426	45.9134	
pi-	-9.78261	-3.2436	47.122	
pi-	-19.4712	-16.5175	88.8731	
pi-	-24.8851	-20.8223	102.667	
pi0	-0.0103905	-0.0172882	6.00069	
pi0	-0.0103478	-0.0172896	6.00076	
pi0	-6.05699e-06	3.41152e-05	15.8417	
pi+	-2.71655	2.466	26.9945	
pi+	-6.82933	11.796	65.9017	
pi+	-7.23846	15.4833	83.0094	
pi+	-5.9131	19.0176	110.311	
pi0	-5.91304	19.0176	110.311	
pi0	1.78998	-0.239455	68.4316	
pi-	15.9389	-25	146.895	
pi-	254.885	179.261	778.444	
mu-	-3085.35	1128.69	4681.36	
mu-	-7592.1	2391.31	8333.99	
mu-	-11642.4	3547.86	11605.9	
mu-	-15290.9	4577.48	14517.4	
mu-	-18568.6	5524.84	17138.9	
mu-	-21506.4	6418.39	19478.9	
mu-	-24155.2	7206.45	21595	
mu-	-26538.5	7917.86	23505.9	
mu-	-28683	8559.49	25231.8	
mu-	-30612.9	9137.68	26772.3	
mu-	-32347.7	9665.32	28157.4	
mu-	-33910.3	10135.6	29409.3	
mu-	-35316.2	10560.4	30535.8	
mu-	-36582.5	10939.2	31562.2	
mu-	-37721	11284.2	32484.4	
mu-	-38745.2	11596.1	33317.5	
mu-	-39667.2	11876.1	34066.9	
mu-	-40497.8	12125.3	34742.2	
mu-	-41246.2	12346.9	35354.5	
mu-	-41919.8	12545.9	35908.5	
mu-	-42525.9	12725.7	36404	
mu-	-43071.6	12886.7	36849.9	
mu-	-43563	13030.8	37250.8	
mu-	-44005.3	13160.2	37609.9	
mu-	-44403.2	13277.3	37934	
mu-	-44761.3	13382.7	38225.6	
mu-	-45083.4	13478.2	38487.7	
mu-	-45373.5	13563.5	38723.7	
mu-	-45634.5	13640.6	38936.1	
mu-	-45869.5	13709.9	39126.8	
mu-	-46080.9	13772.2	39298.9	
mu-	-46271.2	13828.3	39453.6	
mu-	-46442.5	13878.6	39593	
mu-	-46596.7	13923.9	39718.3	
mu-	-46735.4	13965	39830.9	
mu-	-46860.2	14001.9	39932.2	
mu-	-46972.6	14034.9	40023.4	
