ParticleType	PosX_mm	PosY_mm	PosZ_mm
mu-	-47073.7	14065	40105.5	
mu-	-47164.6	14092	40179.4	
mu-	-47246.5	14116.4	40245.9	
mu-	-47320.1	14138.3	40305.6	
mu-	-47386.4	14158.2	40359.4	
mu-	-47446.1	14175.9	40407.8	
mu-	-47499.8	14191.9	40451.4	
mu-	-47548.1	14206.4	40490.6	
mu-	-47591.6	14219.5	40525.9	
mu-	-47630.7	14231.2	40557.6	
mu-	-47665.9	14241.8	40586.1	
mu-	-47697.6	14251.3	40611.7	
mu-	-47726.1	14259.9	40634.8	
mu-	-47751.8	14267.6	40655.5	
mu-	-47774.9	14274.5	40674.2	
mu-	-47795.7	14280.8	40691	
mu-	-47814.5	14286.4	40706.2	
mu-	-47831.3	14291.5	40719.8	
mu-	-47846.5	14296.1	40732.1	
mu-	-47860.1	14300.2	40743.1	
mu-	-47872.4	14303.9	40753	
mu-	-47883.4	14307.2	40762	
mu-	-47893.4	14310.2	40770	
mu-	-47902.3	14312.9	40777.2	
mu-	-47907.2	14314.4	40781.1	
pi0	1.78998	-0.23946	68.4315	
pi-	-21.6531	6.04921	100.862	
pi-	-25	7.56137	105.702	
pi-	2735.04	-3905.16	8510.07	
mu-	5696.94	-7335.11	13979.3	
mu-	32471.3	-38021.2	63754.5	
pi-	5.23209	-11.8144	119.729	
pi-	5.73033	-13.5004	118.713	
pi-	5.26031	-13.9936	120.078	
pi-	4.86585	-14.4486	121.156	
pi-	4.45973	-14.8435	121.935	
pi-	4.1922	-15.2113	122.555	
pi-	3.94053	-15.4181	123.052	
pi-	3.771	-15.6286	123.448	
pi-	3.54935	-15.8041	123.721	
pi-	3.37963	-15.9756	123.927	
pi-	3.2318	-16.1554	124.035	
pi-	3.11685	-16.3146	124.075	
pi-	3.0703	-16.4198	124.133	
pi-	3.06644	-16.4277	124.139	
pi-	3.06641	-16.4278	124.139	
pi-	3.06641	-16.4278	124.139	
pi0	3.79785	-3.52005	124.34	
pi0	-0.623883	0.428753	59.2899	
pi0	-0.623967	0.428775	59.2901	
pi0	-0.623882	0.42875	59.2899	
pi0	-0.623885	0.428751	59.29	
pi-	-11.0831	13.2456	128.775	
pi-	-11.3989	12.8123	129.064	
pi0	-0.623877	0.428759	59.2899	
pi+	0.0218577	-7.07019	66.5561	
pi+	0.260652	-13.5527	66.7368	
pi+	0.715486	-18.9481	67.3167	
pi+	-0.143805	-22.989	68.9162	
pi+	-0.867788	-25	69.1945	
pi+	0.953698	25	116.027	
pi+	1.53624	23.1028	116.239	
pi0	-0.295168	0.0886533	107.014	
pi0	-0.2952	0.0886514	107.014	
pi+	-0.472096	11.2834	132.773	
pi+	3.20749	21.3746	152.801	
pi+	5.64843	25	163.122	
pi+	99.1217	-42.7415	573	
pi+	97.1002	-46.2516	583	
pi+	97.1002	-46.2516	583	
pi+	97.1002	-46.2516	583	
pi+	-9.56907	-25	930.309	
pi+	-10.2327	-19.4399	944.158	
pi+	-12.9244	-14.7174	955.235	
pi+	-15.2403	-10.1146	963.816	
pi+	-17.1503	-6.82969	970.978	
pi+	-18.1368	-5.06971	977.073	
pi+	-18.8093	-4.18454	982.233	
pi+	-19.4745	-3.33197	986.406	
pi+	-19.3864	-2.90245	989.91	
pi+	-19.7209	-2.69392	992.552	
pi+	-19.6807	-2.53343	994.625	
pi+	-19.8386	-2.46981	996.322	
pi+	-19.7437	-2.36571	997.673	
pi+	-19.698	-2.41871	998.76	
pi+	-19.7303	-2.29959	999.605	
pi+	-19.7546	-2.26743	1000	
pi+	146.919	-73.6336	4186.91	
mu+	-1161.67	483.078	7137.09	
mu+	-2189.84	816.445	9392.95	
mu+	-3035.23	1088.91	11163.6	
mu+	-4096	1802.88	12037.7	
mu+	-4938.45	2569.58	12664.6	
mu+	-5609.86	3188.92	13159.7	
mu+	-6107	3713.42	13572	
mu+	-6551.31	4081.41	13919.4	
mu+	-6917.37	4389.35	14192.1	
mu+	-7214.88	4639.36	14391.2	
mu+	-7429.96	4830.53	14568.7	
mu+	-7601.56	4987.17	14715.2	
mu+	-7745.34	5101.25	14829.2	
mu+	-7863.84	5193.43	14920	
mu+	-7959.26	5267.68	14996.9	
mu+	-8027.06	5337.25	15063.3	
mu+	-8078.2	5393.75	15111.9	
mu+	-8115.89	5440.35	15153.1	
mu+	-8145.81	5476.67	15187.5	
mu+	-8167.51	5504.94	15216	
mu+	-8182.01	5527.97	15240.1	
mu+	-8193.79	5545.66	15257.8	
mu+	-8203.79	5558.83	15272	
mu+	-8212.26	5568.2	15283.7	
mu+	-8218.71	5576.48	15292.9	
mu+	-8224.6	5582.88	15300	
mu+	-8229.79	5587.81	15306	
mu+	-8234.36	5591.8	15310.8	
mu+	-8237.69	5595.16	15314.6	
mu+	-8240.39	5597.91	15317.6	
mu+	-8242.68	5599.94	15319.8	
mu+	-8244.39	5601.74	15321.5	
mu+	-8245.82	5603.16	15322.8	
mu+	-8247.11	5604.21	15323.9	
mu+	-8248.17	5605.2	15324.7	
mu+	-8249	5606.02	15325.4	
mu+	-8249.71	5606.63	15326	
mu+	-8250.26	5607.08	15326.5	
mu+	-8250.71	5607.43	15326.9	
mu+	-8251.05	5607.71	15327.3	
mu+	-8251.37	5607.88	15327.6	
mu+	-8251.63	5608.02	15327.8	
mu+	-8251.82	5608.13	15327.9	
mu+	-8251.97	5608.2	15328.1	
mu+	-8252.08	5608.25	15328.2	
mu+	-8252.08	5608.25	15328.2	
pi0	-0.295189	0.0886528	107.014	
pi-	-9.00881	11.2493	143.732	
pi-	-13.4551	20.4888	166.84	
pi-	-14.8683	25	177.031	
pi-	-22570.1	10811.9	58785.5	
mu-	-24847.8	11847.6	63750.5	
mu-	-26902.3	12769.8	68226.3	
mu-	-28753.8	13594.6	72318.6	
mu-	-30413.6	14351	75982.4	
mu-	-31921.9	15000.5	79276.6	
mu-	-33292.9	15555.1	82259.3	
mu-	-34527.3	16053	84965.6	
mu-	-35639.6	16498.1	87421.8	
mu-	-36639.8	16887.1	89616.9	
mu-	-37546.9	17235.3	91602.3	
mu-	-38361.8	17551.9	93398.3	
mu-	-39097.2	17832.6	95010.9	
mu-	-39757.4	18088.9	96462.6	
mu-	-40350.1	18322.7	97765.2	
mu-	-40882.9	18534.8	98926.2	
mu-	-41363.7	18722.9	99969	
mu-	-41796.6	18891.8	100905	
mu-	-42185.8	19044.7	101745	
mu-	-42536.2	19181.9	102503	
mu-	-42851.9	19304.8	103183	
mu-	-43136.3	19414.7	103796	
mu-	-43392.4	19513.5	104346	
mu-	-43622.7	19602.6	104841	
mu-	-43830.2	19682.4	105288	
mu-	-44016.7	19754.7	105690	
mu-	-44184.7	19819.5	106053	
mu-	-44336.1	19877.4	106379	
mu-	-44472.5	19929	106672	
mu-	-44595.5	19975.2	106936	
mu-	-44706	20016.9	107173	
mu-	-44805.5	20054.5	107387	
mu-	-44895	20088.5	107580	
mu-	-44975.6	20119	107753	
mu-	-45048.1	20146.4	107909	
mu-	-45113.3	20171.2	108050	
mu-	-45172	20193.5	108176	
mu-	-45224.8	20213.6	108289	
mu-	-45272.4	20231.7	108392	
mu-	-45315.2	20248	108483	
mu-	-45353.7	20262.6	108566	
mu-	-45388.4	20275.9	108640	
mu-	-45419.5	20287.8	108707	
mu-	-45447.6	20298.5	108767	
mu-	-45472.9	20308.1	108821	
mu-	-45495.6	20316.8	108870	
mu-	-45516.1	20324.6	108914	
mu-	-45534.5	20331.7	108954	
mu-	-45551.1	20338	108989	
mu-	-45566	20343.7	109021	
mu-	-45579.4	20348.8	109050	
mu-	-45591.5	20353.4	109076	
mu-	-45602.4	20357.5	109099	
mu-	-45612.2	20361.2	109120	
mu-	-45621	20364.6	109139	
mu-	-45628.9	20367.6	109156	
mu-	-45636	20370.3	109171	
mu-	-45642.4	20372.8	109185	
mu-	-45648.2	20374.9	109197	
mu-	-45653.4	20376.9	109209	
mu-	-45658.1	20378.7	109219	
mu-	-45658.5	20378.9	109220	
pi0	6.42963	14.0273	138.898	
pi-	-1.84632	1.55344	140.069	
pi-	-4.25193	2.24583	165.589	
pi-	-5.19418	2.0344	186.442	
pi-	-9.59682	1.99615	202.986	
pi-	-10.368	2.25948	207.373	
pi-	-19.9884	2.38588	216.061	
pi-	-25	0.977692	221.423	
pi-	78.7857	-85.4513	573	
pi-	80.2516	-76.8059	583	
pi-	80.2516	-76.8059	583	
pi-	80.2516	-76.8059	583	
pi-	25	4.40299	704.957	
pi-	19.5873	5.66733	711.292	
pi-	14.9399	6.89479	716.213	
pi-	11.4713	7.84316	720.513	
pi-	10.5925	8.19773	721.302	
pi-	10.7403	7.16148	721.952	
pi-	11.7192	5.71143	724.014	
pi-	11.7993	5.54728	724.195	
pi-	12.8915	4.67722	725.812	
pi-	13.7283	3.82359	726.959	
pi-	14.5766	3.11494	727.724	
pi-	15.2998	2.46901	728.19	
pi-	15.9088	1.99377	728.575	
pi-	16.3394	1.59994	728.908	
pi-	16.6817	1.21771	729.074	
pi-	16.9953	0.936051	729.149	
pi-	17.1037	0.845986	729.155	
pi-	17.2382	0.821885	728.875	
pi-	17.3215	0.783048	728.649	
pi-	17.3951	0.765698	728.484	
pi-	17.4305	0.758951	728.435	
pi-	17.4298	0.758988	728.434	
pi-	17.4298	0.758988	728.434	
pi-	-0.49626	-3.81526	121.751	
pi+	-0.849429	-4.51942	122.817	
pi+	-0.92791	-4.69381	123.129	
pi+	-1.31535	-4.87981	124.027	
pi+	-1.6432	-4.94629	124.697	
pi+	-2.06065	-4.95494	125.102	
pi+	-2.39172	-4.96644	125.44	
pi+	-2.64104	-4.87413	125.721	
pi+	-2.87003	-4.81806	125.909	
pi+	-3.09126	-4.82222	125.99	
pi+	-3.2398	-4.82161	126.071	
pi+	-3.29213	-4.80119	126.097	
pi+	-3.29274	-4.80076	126.097	
pi+	-3.29275	-4.80077	126.097	
pi+	-3.29275	-4.80077	126.097	
mu+	-3.39496	-4.84627	126.159	
mu+	-3.41119	-4.8509	126.163	
mu+	-3.41159	-4.85099	126.163	
mu+	-3.41159	-4.85099	126.163	
mu+	-3.41159	-4.85099	126.163	
pi+	2.43876	-1.30721	109.625	
pi+	11.097	-5.69283	118.594	
pi+	6.43273	2.29731	32.8868	
pi0	0.00018929	-0.000125081	29.8958	
pi-	1.42059	3.46353	34.045	
pi-	-2.38118	11.6394	36.1808	
pi0	-2.38118	11.6394	36.1808	
pi-	0.306558	-0.75204	30.7151	
pi-	7.14132	-2.62982	45.6243	
pi-	7.60041	-2.68851	46.5839	
pi-	12.9615	-4.85499	57.9193	
pi-	18.1717	-5.5814	66.7244	
pi-	21.332	-5.35677	74.4105	
pi-	23.4278	-5.24695	80.9048	
pi-	24.1637	-4.62952	86.4382	
pi-	24.2811	-4.41648	87.8203	
pi-	-1.31809	8.82263	48.6848	
pi+	2.39147	-3.33588	46.4662	
pi0	0.000204095	-0.000134376	29.8958	
pi+	0.552903	4.19318	45.6489	
pi+	-0.0603685	5.27347	45.197	
pi+	-0.609849	6.10124	45.0521	
pi+	-1.1202	6.68345	45.3268	
pi+	-1.54912	7.11264	45.6007	
pi+	-1.94269	7.41145	45.7962	
pi+	-2.18511	7.67498	46.0097	
pi+	-2.34221	7.88505	46.203	
pi+	-2.42615	8.00653	46.4128	
pi+	-2.55145	8.10741	46.5231	
pi+	-2.59936	8.17483	46.5882	
pi+	-2.60025	8.17748	46.5884	
pi+	-2.60026	8.1775	46.5884	
pi+	-2.60026	8.1775	46.5884	
mu+	-2.50483	8.15632	46.5069	
mu+	-2.4977	8.15957	46.5075	
mu+	-2.49783	8.15981	46.5074	
mu+	-2.49783	8.15981	46.5074	
pi+	-2.25359	2.64052	345.752	
pi+	-2.02239	1.3508	365.224	
pi+	-5.2246	-0.824859	394.243	
pi+	-8.47142	-2.92538	407.448	
pi0	-8.47143	-2.92531	407.448	
pi0	-1.98282	3.27112	336.708	
pi+	-8.52623	2.86257	348.81	
pi+	-13.1452	3.2771	359.01	
pi+	-16.9053	4.26274	366.89	
pi+	-20.3815	3.98675	372.846	
pi+	-23.1417	3.99521	377.77	
pi+	-24.058	4.16779	379.768	
pi+	2.96341	-1.44445	5.48921	
pi+	3.30655	-3.31102	1.61961	
pi+	3.45316	-4.14304	4.21885e-15	
pi+	240.557	-1003.44	-1904.11	
mu+	-1809.67	-11130.3	-16446.1	
mu+	-3330.55	-19403.2	-28483.8	
mu+	-4171.29	-26411.3	-38264.8	
mu+	-4754.09	-32495.6	-45717.3	
mu+	-5322.63	-37159.9	-51630.9	
mu+	-5744.18	-41124.6	-56242.8	
mu+	-6050.64	-44288.8	-60016.6	
mu+	-6240.97	-46888.1	-62908.6	
mu+	-6365.75	-48924.9	-65295.9	
mu+	-6408.77	-49587.6	-66038.7	
pi+	-0.755491	0.308798	5.7137	
pi0	-0.755482	0.308798	5.7137	
pi0	0.00877443	0.0108351	4.39383	
pi-	15.2523	25	27.3146	
pi-	-401.179	149.043	598.284	
mu-	17748.6	4245.98	16518.1	
mu-	20837.4	5014.11	19078.9	
mu-	23615.5	5713.21	21383	
mu-	26115.6	6342.68	23464.8	
mu-	28358.8	6893.58	25360.8	
mu-	30388.1	7390.27	27080.5	
mu-	32215	7835.52	28632.8	
mu-	33859	8236.61	30036.2	
mu-	35338.7	8597.41	31295.9	
mu-	36670.4	8922.4	32432.9	
mu-	37869.2	9213.48	33457.6	
mu-	38948.3	9474.76	34381.8	
mu-	39919.1	9711.63	35214.2	
mu-	40793.1	9923.78	35966.4	
mu-	41579.4	10115.8	36640.9	
mu-	42286.9	10289.1	37247.2	
mu-	42923.7	10445.2	37793.3	
mu-	43497.1	10584.2	38285.3	
mu-	44013.1	10709.9	38726.2	
mu-	44477.5	10822.9	39122.7	
mu-	44895.5	10924.6	39478.7	
mu-	45271.7	11016.1	39798.8	
mu-	45610.3	11098.3	40086.6	
mu-	45915.1	11172	40345.6	
mu-	46189.3	11238.7	40578.7	
mu-	46436.2	11298.7	40788.4	
mu-	46658.3	11352.7	40977.1	
mu-	46858.1	11400.8	41147.3	
mu-	47038.2	11444.1	41300.9	
mu-	47200.2	11483.2	41439	
mu-	47346.1	11518.2	41563.4	
mu-	47477.3	11549.8	41675.4	
mu-	47595.4	11578.2	41776.3	
mu-	47701.7	11603.8	41867.1	
mu-	47797.4	11626.9	41949	
mu-	47883.5	11647.6	42022.6	
mu-	47961	11666.3	42088.9	
mu-	48030.7	11683.2	42148.6	
mu-	48093.5	11698.3	42202.3	
mu-	48150	11711.9	42250.6	
mu-	48200.8	11724.1	42294.1	
mu-	48246.6	11735.1	42333.3	
mu-	48287.8	11745	42368.6	
mu-	48324.8	11753.9	42400.3	
mu-	48358.2	11762	42428.9	
mu-	48388.2	11769.2	42454.6	
mu-	48415.3	11775.7	42477.7	
mu-	48439.6	11781.5	42498.5	
mu-	48461.5	11786.8	42517.3	
mu-	48481.2	11791.5	42534.1	
mu-	48498.9	11795.8	42549.3	
mu-	48514.8	11799.6	42563	
mu-	48529.2	11803	42575.3	
mu-	48542.1	11806.1	42586.4	
mu-	48553.8	11808.9	42596.3	
mu-	48564.2	11811.4	42605.3	
mu-	48573.7	11813.7	42613.3	
mu-	48582.1	11815.7	42620.6	
mu-	48583.7	11816.1	42622	
pi-	-5.28632	5.78017	55.6828	
pi-	-6.1887	6.58824	60.056	
pi-	-7.05504	6.85531	63.6239	
pi-	-7.10726	6.91564	63.8118	
pi-	-7.28431	7.42191	63.9086	
pi-	-7.42504	7.78991	64.1014	
pi-	-7.48434	8.08983	64.2861	
pi-	-7.54305	8.31887	64.429	
pi-	-7.58873	8.47825	64.5622	
pi-	-7.61512	8.57915	64.6419	
pi-	-7.61525	8.58089	64.648	
pi-	-7.61525	8.58089	64.648	
pi-	-7.61525	8.58089	64.648	
pi0	-4.717	4.95168	50.1807	
pi+	2.04782	8.55392	148.729	
pi+	5.31348	23.4773	191.582	
pi+	1.82534	15.2675	192.613	
pi+	-0.491649	10.4639	193.036	
pi+	-5.10408	6.22424	194.403	
pi+	-8.73428	2.50164	195.361	
pi+	-11.7804	-0.226442	196.014	
pi+	-14.3311	-2.36926	196.417	
pi+	-16.1962	-4.06665	197.273	
pi+	-17.9526	-5.23205	197.783	
pi+	-19.2545	-6.23273	198.327	
pi+	-20.2338	-7.13698	198.667	
pi+	-20.9085	-7.90987	199.077	
pi+	-21.636	-8.44245	199.034	
pi+	-21.6396	-8.44584	199.033	
pi+	-22.3284	-8.60876	199.146	
pi+	-22.8869	-8.69177	199.093	
pi+	-23.323	-8.81879	199.002	
pi+	-23.6626	-8.92568	198.947	
pi+	-23.9403	-8.94606	198.904	
pi+	-24.1507	-8.97829	198.837	
pi+	-24.2937	-8.97057	198.776	
pi+	-24.3208	-8.96983	198.775	
pi+	-24.3214	-8.9696	198.775	
pi+	-24.3213	-8.96958	198.775	
pi+	-24.3213	-8.96958	198.775	
mu+	-24.3601	-9.08289	198.734	
mu+	-24.363	-9.10119	198.731	
mu+	-24.3631	-9.10185	198.731	
mu+	-24.3631	-9.10185	198.731	
pi0	-0.835311	0.097516	124.462	
pi-	6.48562	0.696676	130.04	
pi-	8.08748	0.93649	131.121	
pi-	25	-1.34877	140.636	
pi-	-25	11.3015	711.74	
pi-	-24.9137	11.2638	711.797	
pi0	-0.835358	0.097425	124.462	
pi-	-1.08071	4.43013	142.732	
pi-	3.32233	-25	141.635	
pi-	-22489	20796.9	-3640.89	
mu-	-24013.3	22013.1	-3855.39	
mu-	-25387	23105.5	-4052.64	
mu-	-26622.3	24089.8	-4228.19	
mu-	-27736.4	24973	-4388.33	
mu-	-28739.5	25767.4	-4532.24	
mu-	-29642.4	26482.3	-4662.37	
mu-	-30454.4	27126.4	-4777.12	
mu-	-31185.2	27706.1	-4882.05	
mu-	-31843.2	28227.4	-4975.9	
mu-	-32435.8	28696.2	-5062.76	
mu-	-32969	29118.3	-5140.27	
mu-	-33448.9	29498.2	-5210.2	
mu-	-33880.9	29839.9	-5273.5	
mu-	-34270	30147.1	-5330	
mu-	-34620.3	30423.5	-5380.81	
mu-	-34935.5	30672.3	-5426.43	
mu-	-35219.5	30896	-5467.38	
mu-	-35475.1	31097.1	-5504.34	
mu-	-35705.1	31278.3	-5537.49	
mu-	-35912.3	31441.1	-5567.36	
mu-	-36099	31587.4	-5593.94	
mu-	-36267	31719.1	-5617.76	
mu-	-36418.2	31837.6	-5639.09	
mu-	-36554.2	31944.3	-5658.4	
mu-	-36676.7	32040.2	-5675.88	
mu-	-36787	32126.6	-5691.53	
mu-	-36886.2	32204.4	-5705.72	
mu-	-36975.5	32274.3	-5718.47	
mu-	-37055.9	32337.3	-5729.94	
mu-	-37128.2	32393.9	-5740.23	
mu-	-37193.3	32444.9	-5749.48	
mu-	-37251.9	32490.8	-5757.84	
mu-	-37304.6	32532.1	-5765.37	
mu-	-37352.1	32569.3	-5772.18	
mu-	-37394.8	32602.8	-5778.3	
mu-	-37433.2	32632.9	-5783.82	
mu-	-37467.8	32660	-5788.78	
mu-	-37498.9	32684.4	-5793.24	
mu-	-37527	32706.3	-5797.26	
mu-	-37552.2	32726.1	-5800.87	
mu-	-37574.9	32743.9	-5804.12	
mu-	-37595.3	32759.9	-5807.05	
mu-	-37613.7	32774.3	-5809.68	
mu-	-37630.3	32787.2	-5812.05	
mu-	-37645.2	32798.9	-5814.17	
mu-	-37658.6	32809.4	-5816.09	
mu-	-37670.6	32818.8	-5817.81	
mu-	-37681.5	32827.3	-5819.36	
mu-	-37691.3	32835	-5820.75	
mu-	-37700.1	32841.9	-5822	
mu-	-37701	32842.6	-5822.13	
pi0	-0.835342	0.0974303	124.462	
pi0	-9.94434	-12.4013	190.757	
pi0	-0.000199601	0.000213534	64.7945	
pi0	14.8826	0.00979603	129.918	
pi-	16.4942	-1.39443	130.018	
pi-	18.0305	-2.19676	130.182	
pi-	19.2784	-2.77476	130.44	
pi-	20.1692	-3.21248	130.504	
pi-	20.86	-3.80339	130.624	
pi-	21.3493	-4.34319	130.795	
pi-	21.835	-4.70388	130.892	
pi-	22.1649	-5.0422	131.05	
pi-	22.3875	-5.24264	131.316	
pi-	22.5058	-5.38689	131.561	
pi-	22.59	-5.50627	131.753	
pi-	22.6939	-5.61635	131.837	
pi-	22.7273	-5.65537	131.871	
pi-	22.7285	-5.65503	131.871	
pi-	22.7285	-5.65507	131.871	
pi-	22.7285	-5.65507	131.871	
pi+	15.3985	2.24367	125.881	
pi+	15.6163	3.82338	122.671	
pi+	15.8077	4.18026	121.631	
pi+	16.3034	4.9005	119.112	
pi+	16.9093	5.0548	117.182	
pi+	17.4174	4.99667	115.623	
pi+	17.798	4.76183	114.387	
pi+	18.2171	4.72809	113.436	
pi+	18.4918	4.49878	112.702	
pi+	18.586	4.05652	112.259	
pi+	18.6461	3.67445	111.937	
pi+	18.6854	3.33184	111.748	
pi+	18.7117	3.15351	111.506	
pi+	18.7286	3.02982	111.297	
pi+	18.743	2.90391	111.171	
pi+	18.7553	2.83662	111.153	
pi+	18.7553	2.83645	111.153	
pi+	18.7553	2.83645	111.153	
pi+	18.7553	2.83645	111.153	
mu+	18.7536	2.95717	111.186	
mu+	18.7514	2.97817	111.196	
mu+	18.7513	2.97838	111.196	
mu+	18.7513	2.97838	111.196	
pi0	-0.000241967	0.000148305	64.7949	
pi-	6.3456	-1.58998	116.649	
pi-	-0.0894084	-3.75444	110.843	
pi0	-0.0893946	-3.75444	110.843	
pi-	7.15551	-1.59155	116.944	
pi0	7.1555	-1.59155	116.944	
pi+	-8.01186	1.63421	87.0624	
pi+	-8.25121	1.60187	86.777	
pi+	-9.8663	1.46646	83.6628	
pi+	-11.0095	1.08476	79.7818	
pi+	-11.949	0.331841	76.7428	
pi+	-13.0313	-0.171715	74.4828	
pi+	-14.064	-0.673106	72.7624	
pi+	-14.3865	-1.18678	71.1731	
pi+	-14.5236	-1.61524	69.8884	
pi+	-14.6376	-2.02743	68.9065	
pi+	-14.7709	-2.47937	68.182	
pi+	-14.8794	-2.89527	67.6328	
pi+	-14.9807	-3.17602	67.1538	
pi+	-15.1892	-3.32586	66.7805	
pi+	-15.374	-3.35831	66.4636	
pi+	-15.4882	-3.39393	66.2019	
pi+	-15.5822	-3.4331	66.0029	
pi+	-15.6935	-3.44752	65.9036	
pi+	-15.7031	-3.45396	65.884	
pi+	-15.7034	-3.45405	65.8833	
pi+	-15.7034	-3.45406	65.8833	
pi+	-15.7034	-3.45406	65.8833	
mu+	-15.7034	-3.34119	65.8973	
mu+	-15.702	-3.32707	65.9058	
mu+	-15.7019	-3.32701	65.9064	
mu+	-15.7019	-3.32701	65.9064	
pi+	8.38125	-1.58371	71.7786	
pi+	10.5875	-1.5179	73.0693	
pi+	10.1672	-2.60446	72.0749	
pi+	9.47997	-3.17711	71.2599	
pi+	8.99127	-3.68936	70.6387	
pi+	8.81731	-4.08841	70.0181	
pi+	8.71003	-4.49398	69.5739	
pi+	8.56124	-4.82763	69.2366	
pi+	8.37172	-5.13761	69.0825	
pi+	8.22753	-5.3893	68.9752	
pi+	8.14047	-5.6068	68.9594	
pi+	8.07143	-5.74896	68.8925	
pi+	8.0406	-5.77399	68.8553	
pi+	8.04017	-5.77452	68.8548	
pi+	8.04017	-5.77452	68.8548	
mu+	7.9473	-5.74669	68.7765	
mu+	7.94551	-5.73201	68.7673	
mu+	7.94552	-5.73186	68.767	
mu+	7.94552	-5.73186	68.767	
pi0	-0.000211019	0.000223389	64.7945	
pi0	-0.0002003	0.000211846	64.7945	
pi-	-4.49578	-0.427949	79.518	
pi-	-9.06641	-0.0394841	99.6835	
pi-	-14.993	-0.905516	131.505	
pi-	-21.977	-4.96368	166.924	
pi-	-23.7937	-5.80137	185.861	
pi-	-25	-6.09921	194.236	
pi-	-49.3111	-31.1751	573	
pi-	-49.1239	-32.2185	583	
pi-	-49.1239	-32.2185	583	
pi-	-49.1239	-32.2185	583	
pi-	216.163	-272.701	5224.73	
mu-	346.007	-5244.21	51133.9	
mu-	368.16	-9720.54	92711.1	
mu-	-232.84	-13717.6	131865	
mu-	-287.452	-17346.3	164228	
mu-	-215.858	-20612.8	189905	
mu-	77.0089	-23545.4	213100	
mu-	-94.0665	-26189.5	233412	
mu-	-441.255	-28559	252759	
mu-	-456.686	-30704	269536	
mu-	-270.014	-32632.9	285120	
mu-	-272.595	-34370.7	299576	
mu-	-252.479	-35934.8	312754	
mu-	-128.78	-37341.5	325388	
mu-	-263.979	-38804.6	337345	
mu-	-436.945	-39921.4	346110	
mu-	-608.635	-40925.9	353759	
mu-	-819.892	-41827.3	360421	
mu-	-1073.77	-42634.6	366682	
mu-	-1298.26	-43361.4	372492	
mu-	-1435.33	-44019.3	377917	
mu-	-3066.79	-49905.9	429889	
pi+	-12.6352	-12.8788	69.1221	
pi0	-12.6352	-12.8788	69.1221	
pi0	-2.51444e-05	-2.90651e-05	3.01458	
pi-	0.257413	3.67404	16.2672	
pi0	0.257417	3.67404	16.2672	
pi0	0.257412	3.67404	16.2672	
pi-	-15.6395	9.38188	29.8659	
pi-	-25	15.7753	47.4259	
pi-	-13336.7	-18493.4	39822.8	
mu-	-14462.6	-20473.8	43628.2	
mu-	-15704.5	-22648.4	47792.1	
mu-	-16822.4	-24605.5	51485.3	
mu-	-17825.6	-26368.8	54821.5	
mu-	-18734.6	-27951.7	57844.1	
mu-	-19555.2	-29374.7	60590.5	
mu-	-20293.3	-30655.8	63059.3	
mu-	-26971.6	-42101.4	85210.3	
pi0	7.27755e-05	7.76908e-05	3.01464	
pi0	2.15028e-06	4.98279e-06	3.01449	
